id,名称,缩写,层级
230229,克山县,KSX,3
230230,克东县,KDX,3
230231,拜泉县,BQX,3
230281,讷河市,NHS,3
230300,鸡西市,JXS,2
230301,市辖区,SXQ,3
230302,鸡冠区,JGQ,3
230303,恒山区,HSQ,3
230304,滴道区,DDQ,3
230305,梨树区,LSQ,3
230306,城子河区,CZHQ,3
230307,麻山区,MSQ,3
230321,鸡东县,JDX,3
230381,虎林市,HLS,3
230382,密山市,MSS,3
230400,鹤岗市,HGS,2
230401,市辖区,SXQ,3
230402,向阳区,XYQ,3
230403,工农区,GNQ,3
230404,南山区,NSQ,3
230405,兴安区,XAQ,3
230406,东山区,DSQ,3
230407,兴山区,XSQ,3
230421,萝北县,LBX,3
230422,绥滨县,SBX,3
230500,双鸭山市,SYSS,2
230501,市辖区,SXQ,3
230502,尖山区,JSQ,3
230503,岭东区,LDQ,3
230505,四方台区,SFTQ,3
230506,宝山区,BSQ,3
230521,集贤县,JXX,3
230522,友谊县,YYX,3
230523,宝清县,BQX,3
230524,饶河县,RHX,3
230600,大庆市,DQS,2
230601,市辖区,SXQ,3
230602,萨尔图区,SETQ,3
230603,龙凤区,LFQ,3
230604,让胡路区,RHLQ,3
230605,红岗区,HGQ,3
230606,大同区,DTQ,3
230621,肇州县,ZZX,3
230622,肇源县,ZYX,3
230623,林甸县,LDX,3
230624,杜尔伯特蒙古族自治县,DEBTMGZZZX,3
230700,伊春市,YCS,2
230701,市辖区,SXQ,3
230702,伊春区,YCQ,3
230703,南岔区,NCQ,3
230704,友好区,YHQ,3
230705,西林区,XLQ,3
230706,翠峦区,CLQ,3
230707,新青区,XQQ,3
230708,美溪区,MXQ,3
230709,金山屯区,JSTQ,3
230710,五营区,WYQ,3
230711,乌马河区,WMHQ,3
230712,汤旺河区,TWHQ,3
230713,带岭区,DLQ,3
230714,乌伊岭区,WYLQ,3
230715,红星区,HXQ,3
230716,上甘岭区,SGLQ,3
230722,嘉荫县,JYX,3
230781,铁力市,TLS,3
230800,佳木斯市,JMSS,2
230801,市辖区,SXQ,3
230803,向阳区,XYQ,3
230804,前进区,QJQ,3
230805,东风区,DFQ,3
230811,郊区,JQ,3
230822,桦南县,HNX,3
230826,桦川县,HCX,3
230828,汤原县,TYX,3
230833,抚远县,FYX,3
230881,同江市,TJS,3
230882,富锦市,FJS,3
230900,七台河市,QTHS,2
230901,市辖区,SXQ,3
230902,新兴区,XXQ,3
230903,桃山区,TSQ,3
230904,茄子河区,QZHQ,3
230921,勃利县,BLX,3
231000,牡丹江市,MDJS,2
231001,市辖区,SXQ,3
231002,东安区,DAQ,3
231003,阳明区,YMQ,3
231004,爱民区,AMQ,3
231005,西安区,XAQ,3
231024,东宁县,DNX,3
231025,林口县,LKX,3
231081,绥芬河市,SFHS,3
231083,海林市,HLS,3
231084,宁安市,NAS,3
231085,穆棱市,MLS,3
231100,黑河市,HHS,2
231101,市辖区,SXQ,3
231102,爱辉区,AHQ,3
231121,嫩江县,NJX,3
231123,逊克县,XKX,3
231124,孙吴县,SWX,3
231181,北安市,BAS,3
231182,五大连池市,WDLCS,3
231200,绥化市,SHS,2
231201,市辖区,SXQ,3
231202,北林区,BLQ,3
231221,望奎县,WKX,3
231222,兰西县,LXX,3
231223,青冈县,QGX,3
231224,庆安县,QAX,3
231225,明水县,MSX,3
231226,绥棱县,SLX,3
231281,安达市,ADS,3
231282,肇东市,ZDS,3
231283,海伦市,HLS,3
232700,大兴安岭地区,DXALDQ,2
232721,呼玛县,HMX,3
232722,塔河县,THX,3
232723,漠河县,MHX,3
310000,上海市,SHS,1
310100,市辖区,SXQ,2
310101,黄浦区,HPQ,3
310104,徐汇区,XHQ,3
310105,长宁区,CNQ,3
310106,静安区,JAQ,3
310107,普陀区,PTQ,3
310108,闸北区,ZBQ,3
310109,虹口区,HKQ,3
310110,杨浦区,YPQ,3
310112,闵行区,MXQ,3
310113,宝山区,BSQ,3
310114,嘉定区,JDQ,3
310115,浦东新区,PDXQ,3
310116,金山区,JSQ,3
310117,松江区,SJQ,3
310118,青浦区,QPQ,3
310120,奉贤区,FXQ,3
310200,县,X,2
310230,崇明县,CMX,3
320000,江苏省,JSS,1
320100,南京市,NJS,2
320101,市辖区,SXQ,3
320102,玄武区,XWQ,3
320104,秦淮区,QHQ,3
320105,建邺区,JYQ,3
320106,鼓楼区,GLQ,3
320111,浦口区,PKQ,3
320113,栖霞区,QXQ,3
320114,雨花台区,YHTQ,3
320115,江宁区,JNQ,3
320116,六合区,LHQ,3
320117,溧水区,LSQ,3
320118,高淳区,GCQ,3
320200,无锡市,WXS,2
320201,市辖区,SXQ,3
320202,崇安区,CAQ,3
320203,南长区,NCQ,3
320204,北塘区,BTQ,3
320205,锡山区,XSQ,3
320206,惠山区,HSQ,3
320211,滨湖区,BHQ,3
320281,江阴市,JYS,3
320282,宜兴市,YXS,3
320300,徐州市,XZS,2
320301,市辖区,SXQ,3
320302,鼓楼区,GLQ,3
320303,云龙区,YLQ,3
320305,贾汪区,JWQ,3
320311,泉山区,QSQ,3
320312,铜山区,TSQ,3
320321,丰县,FX,3
320322,沛县,PX,3
320324,睢宁县,SNX,3
320381,新沂市,XYS,3
320382,邳州市,PZS,3
320400,常州市,CZS,2
320401,市辖区,SXQ,3
320402,天宁区,TNQ,3
